 0.28730092     0.77790745
 0.38563022     -0.02422087
 0.48395950     -0.46347995
 0.58228881     -0.72612158
 0.68061811     -0.89121106
 0.77894741     -0.99789386
 0.87727671     -1.06761398
 0.97560601     -1.11297942
 1.07393530     -1.14181496
 1.17226460     -1.15919161
 1.27059390     -1.16850929
 1.36892320     -1.17210806
 1.46725250     -1.17163239
 1.56558181     -1.16825784
 1.66391109     -1.16283700
 1.76224039     -1.15599592
 1.86056969     -1.14819960
 1.95889899     -1.13979707
 2.05722830     -1.13105283
 2.15555760     -1.12216904
 2.25388688     -1.11330118
 2.35221618     -1.10456931
 2.45054549     -1.09606609
 2.54887479     -1.08786266
 2.64720409     -1.08001293
 2.74553339     -1.07255679
 2.84386267     -1.06552250
 2.94219198     -1.05892859
 3.04052128     -1.05278525
 3.13885058     -1.04709547
 3.23717988     -1.04185603
 3.33550918     -1.03705830
 3.43383847     -1.03268902
 3.53216777     -1.02873104
 3.63049707     -1.02516410
 3.72882637     -1.02196552
 3.82715567     -1.01911092
 3.92548498     -1.01657489
 4.02381426     -1.01433160
 4.12214356     -1.01235535
 4.22047286     -1.01062100
 4.31880217     -1.00910435
 4.41713147     -1.00778244
 4.51546077     -1.00663374
 4.61379005     -1.00563830
 4.71211935     -1.00477780
 4.81044866     -1.00403561
 4.90877796     -1.00339670
 5.00710726     -1.00284765
 5.10543656     -1.00237652
 5.20376585     -1.00197279
 5.30209515     -1.00162720
 5.40042445     -1.00133165
 5.49875375     -1.00107912
 5.59708305     -1.00086349
 5.69541235     -1.00067948
 5.79374164     -1.00052256
 5.89207094     -1.00038879
 5.99040024     -1.00027482
